timeframe,instrument,pattern,total_patterns,same_candle_count,same_candle_pct,within_2_count,within_2_pct,within_3_count,within_3_pct,never_count,never_pct,cum_2bars_count,cum_2bars_pct,cum_3bars_count,cum_3bars_pct
12H,MNQ,2U,421,269,63.895486935866984,59,14.014251781472684,11,2.6128266033254155,82,19.47743467933492,328,77.90973871733968,339,80.52256532066508
12H,MNQ,2D,130,1,0.7692307692307693,49,37.69230769230769,12,9.230769230769232,68,52.307692307692314,50,38.46153846153847,62,47.69230769230769
12H,MES,2U,432,266,61.57407407407407,61,14.120370370370368,6,1.3888888888888888,99,22.916666666666664,327,75.69444444444444,333,77.08333333333334
12H,MES,2D,140,4,2.857142857142857,58,41.42857142857143,14,10.0,64,45.714285714285715,62,44.285714285714285,76,54.285714285714285
4H,MNQ,2U,1081,501,46.34597594819611,234,21.646623496762256,44,4.070305272895467,302,27.937095282146164,735,67.99259944495837,779,72.06290471785384
4H,MNQ,2D,527,6,1.1385199240986716,251,47.6280834914611,43,8.159392789373813,227,43.07400379506641,257,48.76660341555977,300,56.92599620493358
4H,MES,2U,1079,508,47.08063021316033,239,22.150139017608897,44,4.077849860982391,288,26.69138090824838,747,69.23076923076923,791,73.30861909175162
4H,MES,2D,566,20,3.53356890459364,259,45.75971731448763,35,6.18374558303887,252,44.522968197879855,279,49.293286219081274,314,55.47703180212014
60min,MNQ,2U,3968,1586,39.96975806451613,832,20.967741935483872,180,4.536290322580645,1370,34.52620967741936,2418,60.9375,2598,65.47379032258065
60min,MNQ,2D,2313,36,1.556420233463035,883,38.17552961521833,200,8.646779074794638,1194,51.621271076524,919,39.73194984868137,1119,48.378728923476004
60min,MES,2U,4035,1651,40.91697645600991,840,20.817843866171003,184,4.560099132589839,1360,33.705080545229244,2491,61.734820322180916,2675,66.29491945477075
60min,MES,2D,2446,167,6.827473426001636,882,36.05887162714636,193,7.890433360588717,1204,49.223221586263286,1049,42.886345053148,1242,50.776778413736714
30min,MNQ,2U,7507,2747,36.59251365392301,1678,22.352471027041428,382,5.088583988277608,2700,35.966431330757956,4425,58.94498468096443,4807,64.03356866924203
30min,MNQ,2D,4878,79,1.6195161951619514,1831,37.53587535875359,383,7.8515785157851585,2585,52.99302993029931,1910,39.15539155391554,2293,47.0069700697007
30min,MES,2U,7599,2911,38.30767206211343,1697,22.331885774444004,364,4.790103961047507,2627,34.57033820239505,4608,60.639557836557444,4972,65.42966179760495
30min,MES,2D,5060,510,10.079051383399209,1719,33.972332015810274,400,7.905138339920949,2431,48.04347826086956,2229,44.051383399209485,2629,51.95652173913044
15min,MNQ,2U,14984,4983,33.25547250400427,3651,24.365990389749065,758,5.05872931126535,5592,37.319807794981315,8634,57.62146289375334,9392,62.680192205018685
15min,MNQ,2D,10158,303,2.9828706438275248,3669,36.1193148257531,799,7.86572159873991,5387,53.032092931679465,3972,39.102185469580625,4771,46.967907068320535
15min,MES,2U,14735,5391,36.58635900916186,3330,22.599253478113333,741,5.02884289107567,5273,35.78554462164914,8721,59.18561248727519,9462,64.21445537835086
15min,MES,2D,10506,1373,13.068722634684942,3494,33.25718636969351,786,7.481439177612794,4853,46.192651818008756,4867,46.32590900437845,5653,53.807348181991244
